"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Chemical & Allied Product Mfg","MA","25","Berkshire","003","Carbon Monoxide","CAP","0","TON"
"Chemical & Allied Product Mfg","MA","25","Berkshire","003","Volatile Organic Compounds","CAP","0","TON"
"Chemical & Allied Product Mfg","MA","25","Middlesex","017","Carbon Monoxide","CAP","0","TON"
"Other Industrial Processes","MA","25","Hampden","013","Sulfur Dioxide","CAP","0","TON"
"Other Industrial Processes","MA","25","Berkshire","003","Ammonia","CAP","0","TON"
"Chemical & Allied Product Mfg","MA","25","Worcester","027","Sulfur Dioxide","CAP","0","TON"
"Chemical & Allied Product Mfg","MA","25","Worcester","027","Carbon Monoxide","CAP","0","TON"
"Petroleum & Related Industries","MA","25","Barnstable","001","Lead","CAP/HAP","0","LB"
"Chemical & Allied Product Mfg","MA","25","Bristol","005","Carbon Monoxide","CAP","0","TON"
"Metals Processing","MA","25","Bristol","005","Carbon Monoxide","CAP","0","TON"
"Other Industrial Processes","MA","25","Suffolk","025","Ammonia","CAP","0","TON"
"Chemical & Allied Product Mfg","MA","25","Middlesex","017","Nitrogen Oxides","CAP","0","TON"
"Fuel Comb. Elec. Util.","MA","25","Franklin","011","Lead","CAP/HAP","0","LB"
"Other Industrial Processes","MA","25","Essex","009","Ammonia","CAP","0","TON"
"Chemical & Allied Product Mfg","MA","25","Essex","009","Sulfur Dioxide","CAP","0","TON"
"Storage & Transport","MA","25","Berkshire","003","Nitrogen Oxides","CAP","0","TON"
"Chemical & Allied Product Mfg","MA","25","Bristol","005","Sulfur Dioxide","CAP","0","TON"
"Petroleum & Related Industries","MA","25","Franklin","011","Ammonia","CAP","0","TON"
"Storage & Transport","MA","25","Berkshire","003","Sulfur Dioxide","CAP","0","TON"
"Chemical & Allied Product Mfg","MA","25","Berkshire","003","Nitrogen Oxides","CAP","0","TON"
"Storage & Transport","MA","25","Berkshire","003","Carbon Monoxide","CAP","0","TON"
"Chemical & Allied Product Mfg","MA","25","Middlesex","017","Sulfur Dioxide","CAP","0","TON"
"Metals Processing","MA","25","Suffolk","025","PM2.5 Primary (Filt + Cond)","CAP","0","TON"
"Solvent Utilization","MA","25","Norfolk","021","Ammonia","CAP","0","TON"
"Other Industrial Processes","MA","25","Suffolk","025","Sulfur Dioxide","CAP","0","TON"
"Other Industrial Processes","MA","25","Hampshire","015","Sulfur Dioxide","CAP","0","TON"
"Chemical & Allied Product Mfg","MA","25","Essex","009","Nitrogen Oxides","CAP","0","TON"
